number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,original_c,original_i,original_o,stander_c,stander_i,stander_o,total
20052,3,2,2,3,3,3,3,2,2,4,3,2,2,2,2,3,3,2,3,3,2,2,3,3,3,2,3,2,3,13,10,13,5,5,7,36
20053,3,4,5,3,3,2,4,3,2,3,1,4,4,3,3,3,3,1,2,2,2,1,2,2,2,2,2,1,3,15,5,13,6,1,7,33
20054,2,4,5,4,3,5,3,2,1,5,1,4,4,3,3,3,3,1,3,3,1,2,2,3,3,2,1,3,3,13,12,13,5,6,7,38
20056,3,2,2,2,3,2,3,3,1,5,1,1,3,5,1,5,5,4,2,1,3,1,1,2,1,3,5,6,2,21,9,8,9,2,4,38
20057,3,2,3,3,3,3,3,4,3,4,4,4,4,3,3,5,1,5,2,3,2,2,2,2,3,2,3,1,3,19,2,13,8,1,7,34
20059,2,2,2,4,3,5,4,3,2,4,4,5,5,4,3,4,2,1,2,5,2,2,3,1,3,4,3,1,4,21,9,7,9,2,4,37
20060,2,2,5,4,3,5,3,3,1,5,2,2,4,2,1,5,3,5,2,3,3,1,2,4,3,1,5,3,1,19,4,6,8,1,3,29
20061,3,2,4,2,2,1,4,4,1,4,4,5,4,4,2,4,2,1,2,2,3,1,2,3,2,2,5,1,1,17,6,7,7,2,4,30
20065,2,2,4,3,3,2,3,2,1,5,3,5,5,2,3,4,2,3,5,3,3,2,3,3,3,2,5,1,2,17,7,10,7,3,5,34
20067,2,2,5,5,1,5,3,1,1,3,2,1,1,3,1,5,5,5,2,3,3,3,2,2,3,3,5,6,2,13,10,12,5,5,6,35
20069,3,2,3,3,3,1,3,4,3,4,4,3,3,3,3,1,1,4,2,5,3,2,3,2,4,2,3,1,3,18,8,12,7,3,6,38
20070,2,4,2,4,3,5,3,3,3,5,1,5,5,1,3,5,3,2,2,3,1,2,3,2,3,3,2,1,3,13,2,12,5,1,6,27
20071,2,4,4,4,3,5,3,2,2,5,3,5,5,3,3,4,1,3,2,3,1,2,2,2,3,2,1,1,2,15,12,9,6,6,5,36
20072,2,4,1,4,3,5,3,2,2,4,3,5,5,3,3,4,1,3,2,3,1,2,2,3,3,2,1,1,2,15,8,10,6,3,5,33
20073,3,4,4,4,3,3,2,3,3,5,3,5,4,2,3,4,5,2,2,3,3,2,1,4,3,2,1,3,3,10,8,14,4,3,7,32
20074,3,4,3,4,3,5,3,2,2,4,3,3,5,3,2,3,2,3,5,3,3,2,2,3,3,2,3,1,2,12,9,13,5,2,7,34
20078,3,4,2,4,3,5,2,3,3,4,3,5,4,4,4,4,3,3,5,5,3,2,2,3,3,2,3,3,3,11,10,9,4,5,5,30
20079,3,4,2,4,3,5,2,3,3,4,3,5,4,4,4,4,3,3,5,5,3,2,2,3,3,2,3,3,3,11,10,9,4,5,5,30
20080,2,1,1,4,3,5,3,2,1,4,1,5,4,2,3,3,4,1,2,2,1,1,3,2,3,2,2,4,3,16,4,9,6,1,5,29
20081,2,1,1,4,3,5,2,2,1,5,5,5,5,3,4,4,2,1,2,3,1,1,2,1,4,2,3,3,2,11,6,12,4,2,6,29
20087,3,1,3,3,3,1,3,2,1,5,1,2,2,3,1,4,1,4,2,3,3,5,2,2,2,2,4,1,1,15,12,14,6,6,7,41
20088,3,1,2,4,3,2,2,3,2,4,1,2,2,3,2,3,1,1,2,3,3,2,3,1,1,3,1,1,2,18,7,9,7,3,5,34
20089,3,1,2,4,3,1,1,2,1,2,4,4,4,2,4,3,2,4,3,4,3,2,4,5,4,2,1,3,4,21,6,18,9,2,9,45
30001,2,2,2,3,3,2,2,1,3,3,3,5,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,5,3,10,10,15,4,5,8,35
30002,2,4,4,3,3,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30003,2,1,2,2,3,3,4,1,3,3,3,5,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,11,13,5,5,7,37
30004,2,1,3,3,3,3,3,4,3,3,3,5,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30005,2,4,4,4,3,4,4,1,3,3,3,5,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30006,2,1,3,3,3,3,4,1,3,3,3,5,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30007,2,2,2,2,3,2,5,1,3,3,3,5,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
